Civilization,Region,PrimaryLanguage,WritingSystem,Religion,Government,Population_Estimate,UrbanizationRate,AgricultureType,KnownFor,MilitaryStructure,PeakYear,DeclineReason,TradeGoods,ArchitecturalStyle,MajorCity,HistoricalEra,TechnologyLevel,ArtifactsFound,ModernTerritory
Catch Civilization,Indus Valley,Sanskrit,Phoenician Alphabet,Ancestor Worship,Monarchy,868574,0.24,Slash-and-Burn,Also,Chariot Corps,-328,War,"Textiles, Spices, Pottery",Ziggurat,Andreamouth,Classical Antiquity,Low,1677,Saint Martin
Story Civilization,Rome,Akkadian,Pictographs,Polytheism,Empire,106307,0.78,Floodplain Farming,Finish,Chariot Corps,-1879,War,"Gold, Textiles, Pottery",Stone Circle,Hillville,Bronze Age,Moderate,3021,Guyana
Likely Civilization,Indus Valley,Old Chinese,Cuneiform,Sun Worship,Tribal Confederation,471947,0.63,Floodplain Farming,Carry,Militia,-1041,War,"Pottery, Salt, Copper",Pyramid,Heathermouth,Bronze Age,Advanced,1327,Papua New Guinea
See Civilization,Andes,Akkadian,Cuneiform,Sun Worship,Tribal Confederation,321500,0.47,Slash-and-Burn,Major,Chariot Corps,971,Famine,"Copper, Spices, Salt",Ziggurat,Victoriahaven,Iron Age,Moderate,1565,Montenegro
Describe Civilization,Sub-Saharan Africa,Sumerian,Cuneiform,Ancestor Worship,Monarchy,1619169,0.68,Floodplain Farming,Entire,Naval Power,-2260,War,"Pottery, Spices, Copper",Ziggurat,East Chasefurt,Bronze Age,Moderate,4787,Kazakhstan
Activity Civilization,Rome,Akkadian,Oracle Bone Script,Ancestor Worship,Empire,367427,0.43,Terrace Farming,Enter,Naval Power,-1487,Conquest,"Copper, Textiles, Salt",Pyramid,Jessicamouth,Classical Antiquity,Advanced,4251,Saint Barthelemy
Air Civilization,Rome,Old Chinese,Pictographs,Ancestor Worship,Monarchy,984792,0.67,Slash-and-Burn,Blood,Standing Army,-2912,Conquest,"Salt, Textiles, Gold",Stone Circle,Lake Grantland,Iron Age,Advanced,492,Montenegro
Should Civilization,Rome,Sanskrit,Hieroglyphics,Ancestor Worship,Empire,188029,0.71,Terrace Farming,Person,Standing Army,1215,Unknown,"Copper, Gold, Pottery",Temple Complex,East Carrieville,Iron Age,Low,950,Turks and Caicos Islands
Loss Civilization,Nile Valley,Quechua,Runes,Sun Worship,Empire,1351987,0.31,Slash-and-Burn,Maybe,Chariot Corps,-838,Famine,"Textiles, Gold, Pottery",Pyramid,South Mariamouth,Classical Antiquity,Moderate,4804,Slovakia (Slovak Republic)
Population Civilization,Indus Valley,Quechua,Linear B,Ancestor Worship,Empire,1503615,0.24,Slash-and-Burn,Which,Militia,1175,Conquest,"Pottery, Salt, Gold",Stone Circle,Alejandroberg,Classical Antiquity,Low,3208,Cuba
Name Civilization,Nile Valley,Sanskrit,Linear B,Monotheism,Theocracy,1946781,0.76,Terrace Farming,Decide,Militia,1094,Unknown,"Salt, Gold, Copper",Mudbrick Fort,Angelaland,Iron Age,Advanced,3352,French Southern Territories
Week Civilization,Nile Valley,Latin,Runes,Polytheism,Theocracy,1800638,0.65,Slash-and-Burn,Health,Chariot Corps,-2299,Natural Disaster,"Salt, Gold, Spices",Stone Circle,Lake Scottmouth,Classical Antiquity,Advanced,910,Turks and Caicos Islands
Exactly Civilization,Mesoamerica,Old Chinese,Cuneiform,Ancestor Worship,Empire,1283391,0.37,Terrace Farming,Until,Fortifications,-174,Unknown,"Textiles, Spices, Gold",Temple Complex,Gordonberg,Bronze Age,Low,4082,Taiwan
Measure Civilization,Greece,Latin,Cuneiform,Polytheism,Empire,303442,0.4,Floodplain Farming,Open,Naval Power,-1035,Famine,"Salt, Pottery, Spices",Stone Circle,Tammychester,Classical Antiquity,Advanced,742,Cocos (Keeling) Islands
Since Civilization,China,Sanskrit,Linear B,Animism,Tribal Confederation,335180,0.39,Irrigation,Something,Naval Power,-2714,Natural Disaster,"Gold, Spices, Pottery",Temple Complex,South Jason,Classical Antiquity,Moderate,1045,South Georgia and the South Sandwich Islands
